city,state,church,total_members,additions,losses,ruling_elders,deacons,tithes_offerings,building_fund_offering,total_contributions,other_income,total_church_income,current_expenses,building_fund_disbursed,grand_total_disbursements,per_capita_giving
Baltimore,MD,Abbott Memorial Presbyterian Church,184,7,33,4,4,245376,0,340792,0,340792,221737,10458,349720,2242.05263157895
Abingdon,VA,Abingdon Presbyterian Church,64,3,2,3,4,157019,NA,174871,NA,174871,146651,NA,174871,2866.73770491803
Houston,TX,Advent Presbyterian Church of Houston,83,28,10,NA,NA,572856,0,594935,32861,627796,762582,NA,786236,8499.07142857143
Somers,NY,Affirmation Presbyterian Church,40,2,0,2,2,130145,NA,141157,9938,151095,70436,NA,104236,4033.05714285714
Ridgeway,SC,Aimwell Presbyterian Church,89,1,0,3,3,189997,NA,200337,8667,209004,151563,NA,181191,2356.90588235294
Forest Hill,MD,Aisquith Presbyterian Church,80,1,5,3,5,250045,32098,296315,NA,296315,300478,140038,483016,4294.42028985507
Alexandria,VA,Alexandria Presbyterian Church,695,81,34,11,4,3694611,NA,3932347,62760,3995107,1756064,1827205,4057874,7802.27579365079
Aliso Viejo,CA,Aliso Creek Church,131,9,3,3,2,714647,NA,737989,42839,780828,616568,NA,687577,6530.87610619469
Charlotte,NC,All Nations Presbyterian Mission Church,22,4,1,2,4,5200,NA,7200,1700,8900,NA,NA,300,327.272727272727
St. Paul,MN,All Saints Presbyterian Church,288,14,12,3,7,439693,0,551307,30600,581907,369811,49607,488369,2784.37878787879
Brentwood,TN,All Saints Presbyterian Church,111,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Bay,WI,All Saints Presbyterian Church,84,11,0,1,3,215000,NA,220988,NA,220988,192255,NA,216100,3112.50704225352
Huntsville,AL,All Saints Presbyterian Church,138,47,1,6,0,409187,0,494591,1310,495901,274058,0,296058,5151.98958333333
Boise,ID,All Saints Presbyterian Church,225,22,84,4,4,634173,1000,637800,17167,654967,528977,NA,634405,3356.84210526316
Austin,TX,All Saints Presbyterian Church,1749,216,35,10,19,4920287,3968949,9076376,101183,9177559,4010407,720485,5703659,6002.89417989418
St. George,UT,All Saints Reformed Church,86,10,0,0,0,213433,0,533659,NA,533659,225000,0,231000,11601.2826086957
Richmond,VA,All Saints Reformed Presbyterian Church,169,9,11,6,5,505034,NA,505999,4023,510022,401334,142588,631329,4047.992
Missoula,MT,All Souls Missoula,81,20,10,2,NA,0,0,0,0,0,0,0,0,0
Urbana,IL,All Souls Presbyterian Church,200,22,9,6,2,514522,6512,527651,47781,575432,546009,0,603652,3589.46258503401
Birmingham,AL,Altadena Valley Presbyterian Church,582,56,12,15,17,1842622,0,2533799,26703,2560502,269836,NA,396886,4844.73996175908
Lethbridge,AB,Amazing Grace Community Church,40,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchorage,AK,Anchorage New Life Presbyterian Church,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrews,SC,Andrews Presbyterian Church,50,3,6,5,3,157865,11352,175177,0,175177,148444,11352,169326,3503.54
Andrews,NC,Andrews Presbyterian Church,40,0,0,NA,NA,59000,NA,59000,NA,59000,69000,NA,75000,1475
Greer,SC,Antioch Presbyterian Church,75,15,14,2,NA,144028,NA,231445,32671,264116,208086,22026,247481,5260.11363636364
Kingsport,TN,Arcadia Presbyterian Church,19,7,0,1,NA,49935,NA,55182,321,55503,22194,NA,29638,2904.31578947368
Arden,NC,Arden Presbyterian Church,467,16,11,9,6,1220069,29529,1756565,0,1756565,1078931,114383,1588000,4133.09411764706
Cutler Bay,FL,Areumdown Presbyterian Church,62,2,5,NA,1,83860,NA,83860,NA,83860,87620,NA,87620,2466.47058823529
Oceanside,CA,Arise Presbyterian Church,54,6,0,2,0,113356,NA,228249,16680,244929,194177,NA,195813,5187.47727272727
Carmichael,CA,Ark Mission Church,129,4,0,3,4,601604,41284,684412,NA,684412,604739,NA,634038,5305.51937984496
Palisades Park,NJ,Ark Presbyterian Church,50,0,0,NA,NA,72600,NA,72600,NA,72600,NA,NA,490,1452
Forest Hills,NY,Ascension Church,52,0,0,NA,NA,242860,NA,242860,NA,242860,323480,NA,567609,11039.0909090909
Phoenix,AZ,Ascension Church of Phoenix,148,21,19,4,3,504519,111336,647682,1900,649582,365323,182714,596932,5488.83050847458
Lynnwood,WA,Ascension Presbyterian Church,135,8,14,6,4,452016,NA,474516,NA,474516,135059,NA,198788,4199.25663716814
Hillsboro,OR,Ascension Presbyterian Church,60,4,4,2,4,197000,0,199000,NA,199000,191814,0,201864,3685.18518518519
Astoria,NY,Astoria Community Church,125,16,3,4,1,389541,NA,419205,NA,419205,357879,NA,419205,3353.64
Stone Mountain,GA,Atlanta Matupi Community Church,192,35,0,2,10,195000,35000,248000,2000,250000,101877,97800,220738,1305.26315789474
Norcross,GA,Atlanta Siloam Church,276,29,3,5,8,1100000,NA,1100000,NA,1100000,NA,NA,2000,3985.50724637681
Atlanta,GA,Atlanta Westside Presbyterian Church,1189,192,81,24,0,4845701,6000,4957331,131633,5088964,3731074,172916,4508524,5429.71631982475
Venice,FL,Auburn Road Presbyterian Church,74,10,4,4,6,338582,NA,338582,NA,338582,259646,5000,307036,4979.14705882353
Augusta,GA,Augusta Hope Church PCA,38,0,0,0,0,51000,0,61000,0,61000,0,0,NA,1694.44444444444
Austin,TX,Austin Grace Presbyterian Church,12,0,0,NA,NA,33500,NA,33500,NA,33500,NA,NA,17000,2791.66666666667
Mount Ulla,NC,Back Creek Presbyterian Church,255,4,4,NA,NA,308802,NA,404976,NA,404976,245038,NA,346697,1588.14117647059
Bailey,MS,Bailey Presbyterian Church,67,3,3,5,4,251227,NA,252227,NA,252227,148242,NA,190035,4003.60317460317
Clintwood,VA,Bartlick Presbyterian Church,25,0,0,2,4,26078,0,26078,10000,36078,22529,0,23529,1133.82608695652
Flushing,NY,Barun Presbyterian Church,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Webster,TX,Bay Area Presbyterian Church,168,5,14,2,4,669988,80823,789534,81324,870858,762440,178614,1057314,4699.60714285714
Bonita Springs,FL,Bay Presbyterian Church,151,7,5,7,NA,734879,30000,810779,11295,822074,729496,30000,872983,5405.19333333333
Bay Springs,MS,Bay Springs Presbyterian Church,17,1,0,2,0,58326,10017,68343,167,68510,55394,0,55394,4556.2
Hattiesburg,MS,Bay Street Presbyterian Church,185,3,5,9,6,179525,39942,248581,0,248581,156253,7740,192870,1679.60135135135
Bedford,NS,Bedford Presbyterian Church,120,5,3,4,3,150000,NA,150000,2000,152000,135900,28600,183750,2173.91304347826
Rutherford,NJ,Beloved Presbyterian,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ellwood City,PA,Berean Presbyterian Church,58,4,8,2,3,149337,0,150682,0,150682,127427,979,142488,3013.64
Berkeley,CA,Berkeley Grace Presbyterian Church,22,1,4,1,0,75532,0,77812,26,77838,87160,0,95660,3536.90909090909
Oxford,PA,Bethany Presbyterian Church,110,4,33,6,4,327640,NA,327640,3017,330657,411726,NA,446883,2978.54545454545
Greensboro,GA,Bethany Presbyterian Church,24,2,0,3,NA,33845,NA,33845,NA,33845,12262,13086,25996,1692.25
Niles,IL,Bethel Christian Church (Niles),60,11,0,2,0,143631,0,143631,0,143631,143016,0,143016,3122.41304347826
Dallas,TX,Bethel Church PCA,152,15,14,4,5,408900,0,425000,0,425000,360000,52000,428100,3400
Marlborough,MA,Bethel Presbyterian Church,325,4,4,5,14,751165,NA,751165,NA,751165,684385,NA,740496,2311.27692307692
Lake Charles,LA,Bethel Presbyterian Church,104,22,1,4,5,200000,NA,204685,25,204710,186339,NA,200209,2466.0843373494
Clover,SC,Bethel Presbyterian Church,376,17,36,12,11,693814,107903,804077,88692,892769,484910,188653,823396,2636.31803278689
Union Springs,AL,Bethel Presbyterian Church,17,0,1,1,1,6713,0,6713,0,6713,0,0,0,394.882352941176
Palatine,IL,Bethel Presbyterian Church of Chicago,491,60,7,7,7,288581,8780,484676,0,484676,150000,6000,264800,1306.40431266846
Sparta,IL,Bethel Reformed Presbyterian Church,106,9,3,4,2,301266,NA,333596,465,334061,167565,7747,232412,4118.46913580247
Edwards,MS,Bethesda Presbyterian Church,15,0,2,1,0,53074,NA,53074,NA,53074,58833,NA,58833,4082.61538461538
Merrill,WI,Bible Presbyterian Church,111,9,9,4,5,274170,0,298294,73572,371866,177680,127637,371139,3242.32608695652
Rapid City,SD,Black Hills Community Church,51,6,5,3,0,104654,NA,104654,NA,104654,130909,NA,130909,2828.48648648649
Vaiden,MS,Blackmonton Presbyterian Church,5,0,1,2,0,18132,0,18132,0,18132,12588,0,16733,3626.4
Greer,SC,Blue Ridge Presbyterian Church,46,0,133,4,6,NA,NA,0,NA,0,NA,NA,0,0
Blythewood,SC,Blythewood Presbyterian Church,245,28,6,6,8,567410,194940,776070,5630,781700,320572,119085,533574,3749.13043478261
Grand Cayman,BRITISH WEST INDIES,Boatswain Bay Presbyterian Church,142,2,3,3,5,98830,0,133335,0,133335,90627,0,134055,1550.40697674419
Boligee,AL,Boligee Presbyterian Church,13,0,0,3,NA,68734,NA,72934,NA,72934,50503,NA,59727,5610.30769230769
Lynchburg,VA,Boonsboro Presbyterian Church,64,3,1,3,2,203369,1500,216869,0,216869,184171,23551,215922,5163.54761904762
Oak Park,IL,Boulevard Presbyterian Church,103,24,14,4,1,295928,NA,295928,66719,362647,329385,NA,339435,3843.22077922078
Boynton Beach,FL,Boynton Beach Community Church,498,0,0,NA,NA,877000,204000,1081500,10500,1092000,828000,196000,1043000,2171.68674698795
Brandon,MS,Brandon Presbyterian Church,238,9,1,5,10,479626,NA,530136,NA,530136,449600,100000,624655,2790.18947368421
Brent,AL,Brent Presbyterian Church,33,0,7,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham,AL,Briarwood Presbyterian Church,4169,141,257,75,142,15983520,7843,16355205,1736231,18091436,9248959,414000,16945282,4694.37571756602
Easton,PA,Bridge Community Church,71,3,0,0,0,96424,NA,143988,NA,143988,122108,NA,151008,3692
Brigham City,UT,Brigham City Bible Church,49,2,3,2,3,124497,0,124497,0,124497,127712,NA,141212,3112.425
Killeen,TX,Bright Castle Presbyterian Church,88,8,0,2,0,0,0,0,0,0,0,0,0,0
Arnold,MD,Broadneck Evangelical Presbyterian Church,240,14,10,12,4,801863,24830,922034,4150,926184,769004,26200,924244,5038.43715846995
Brookhaven,GA,Brookhaven Presbyterian Church,408,31,17,3,9,1778000,335277,2113277,43980,2157257,1857000,NA,2217567,7944.65037593985
White Rock,NM,Bryce Avenue Presbyterian Church,83,4,5,4,4,260740,NA,289100,NA,289100,160300,14000,275730,4984.48275862069
Sharon,SC,Bullock Creek Presbyterian Church,41,0,0,NA,NA,59740,NA,59740,NA,59740,NA,NA,4048,1457.07317073171
Yorktown,VA,By Grace Community Church,141,6,0,4,5,311620,NA,314462,8330,322792,295570,NA,318205,3053.02912621359
Birmingham,AL,Cahaba Park Church PCA,503,27,21,14,17,NA,NA,0,NA,0,NA,NA,0,0
Towson,MD,Calvary Gospel Presbyterian Church,124,0,1,3,2,230000,0,233500,0,233500,185000,73000,258200,2012.93103448276
Willow Grove,PA,Calvary Presbyterian Church,308,7,9,3,6,465150,4550,488387,57306,545693,469122,65297,577815,1836.04135338346
Willow Grove,PA,Calvary Presbyterian Church,308,7,9,3,6,465150,4550,488387,57306,545693,469122,65297,577815,1836.04135338346
St. Robert,MO,Calvary Presbyterian Church,64,0,0,NA,NA,218589,NA,218589,NA,218589,232985,NA,254154,4124.32075471698
Allenwood,NJ,Calvary Presbyterian Church,147,2,12,5,4,449631,NA,486862,23748,510610,410189,NA,477404,4197.08620689655
Norfolk,VA,Calvary Presbyterian Church,168,9,9,4,3,540854,28320,607213,13666,620879,410715,11522,537769,4048.08666666667
Raleigh,NC,Calvary Presbyterian Church,81,0,3,3,4,378800,0,388617,25800,414417,350627,0,389510,5397.45833333333
Mize,MS,Calvary Presbyterian Church,53,0,0,4,5,101000,NA,101000,NA,101000,91900,21000,121400,1905.66037735849
Hampton,VA,Calvary Reformed Presbyterian Church of Hampton Roads,236,16,13,5,6,609747,112780,742921,9551,752472,451238,37499,571062,3829.48969072165
North Huntingdon,PA,Calvin Presbyterian Church,119,4,6,5,6,276987,0,278710,0,278710,256356,9000,306996,2705.92233009709
San Ramon,CA,Canyon Creek Presbyterian Church,306,24,5,7,0,1413721,NA,1622785,3558443,5181228,5047047,NA,5155569,6847.194092827
Fairfax,VA,Capital Presbyterian Church of Fairfax,277,194,1,6,10,1187471,0,1213095,0,1213095,807471,0,892177,6285.46632124352
Carlisle,PA,Carlisle Reformed Presbyterian Church,379,38,12,5,6,695245,3080,698325,0,698325,604391,202763,977793,2367.20338983051
Madden,MS,Carolina Presbyterian Church,65,0,0,NA,NA,109763,NA,109763,NA,109763,NA,NA,8626,1688.66153846154
Locust,NC,Carolina Presbyterian Church,369,28,25,6,5,NA,NA,0,NA,0,NA,NA,0,0
Peachtree City,GA,Carriage Lane Presbyterian Church,471,33,31,10,23,1675341,0,1713420,109454,1822874,1275213,180000,1822180,4569.12
Carrollton,MS,Carrollton Presbyterian Church,50,0,0,NA,NA,49363,NA,49363,27608,76971,71517,NA,77567,987.26
Carthage,MS,Carthage Presbyterian Church,46,0,0,1,5,61186,NA,62588,NA,62588,59827,NA,66161,1360.60869565217
Tucson,AZ,Catalina Foothills Church,741,53,14,13,27,2207028,66994,2553316,16055,2569371,2300138,103000,2627838,4206.45140032949
Catherine,AL,Catherine Presbyterian Church,4,0,0,3,0,4500,0,4500,0,4500,470,0,920,1125
Beverly,MA,Center Grace Church,224,26,1,4,10,742980,613,750672,12606,763278,552188,6615,741253,3810.51776649746
Edwardsville,IL,Center Grove Presbyterian Church,145,9,4,4,5,481770,NA,481770,3000,484770,356790,NA,403890,4048.48739495798
Moore,SC,Center Point Presbyterian Church,39,1,20,5,1,140108,NA,161203,NA,161203,167440,NA,186700,4242.18421052632
Tallahassee,FL,CenterPoint Church,160,0,0,0,0,246429,65164,349931,0,349931,221000,1011,276731,2799.448
Smyrna,DE,CenterPoint Church,77,11,7,4,1,30000,NA,48000,15000,63000,100500,20250,125100,827.586206896552
Little Rock,AR,Central Hope Church,109,9,6,5,0,137153,31435,173088,3510,176598,260000,NA,266634,2339.02702702703
Emelle,AL,Central Presbyterian Church,24,1,1,7,0,50080,NA,50080,1629,51709,27149,NA,42807,2504
Kingstree,SC,Central Presbyterian Church,53,2,0,2,4,121162,NA,121162,NA,121162,108135,NA,109785,2286.07547169811
Chester,VA,Centralia Presbyterian Church,7,5,0,3,1,NA,NA,0,NA,0,NA,NA,0,0
Garden City,GA,Chapel In The Gardens Presbyterian Church,83,2,10,4,4,107370,0,125857,NA,125857,122633,0,138245,1966.515625
Beaver,PA,Chapel Presbyterian Church,327,40,11,8,11,494679,105101,657758,3814,661572,354367,206000,638042,2752.12552301255
Marriottsville,MD,Chapelgate Presbyterian Church,1202,47,91,18,13,2859358,1930563,5150232,162981,5313213,3156630,120173,3627387,5438.47096092925
Chapin,SC,Chapin Presbyterian Church,622,38,6,9,10,1412157,211711,1623868,54439,1678307,820420,332748,1291929,3122.82307692308
Chattahoochee,FL,Chattahoochee Presbyterian Church,13,5,1,1,NA,37535,NA,37535,NA,37535,4500,NA,7400,3127.91666666667
Flintstone,GA,Chattanooga Valley Presbyterian Church,182,24,1,6,6,433318,0,472775,0,472775,347698,0,392039,3110.36184210526
Newberg,OR,Chehalem Valley Presbyterian Church,71,6,0,NA,NA,197890,NA,197890,NA,197890,161593,NA,185943,2787.18309859155
Cheltenham,PA,Cheltenham Presbyterian Church,160,22,4,2,5,88167,0,114989,22000,136989,73914,31200,123437,1277.65555555556
Canton,GA,Cherokee Presbyterian Church,160,20,6,3,7,594149,6835,603414,NA,603414,496292,NA,563592,4372.5652173913
Chesterfield,MO,Chesterfield Presbyterian Church,650,65,2,8,13,2819371,490047,3320268,1781094,5101362,2240863,342007,2772623,5108.10461538462
Chestnut Mountain,GA,Chestnut Mountain Presbyterian Church,653,39,13,14,9,2398703,2165,2400868,NA,2400868,1375646,161355,2216369,3897.51298701299
Colorado Springs,CO,Cheyenne Mountain Presbyterian Church,184,23,10,6,4,444767,249704,703552,13736,717288,356534,60613,453391,4721.8255033557
Falls Church,VA,Chinese Christian Church,325,8,4,5,5,648994,418717,1169374,148815,1318189,593020,76488,710801,4267.78832116788
Williamsville,NY,Christ Central Buffalo,57,0,0,NA,NA,141000,NA,141000,NA,141000,127000,NA,134500,2820
Charlotte,NC,Christ Central Church,371,26,49,11,9,812862,0,828862,22856,851718,815000,0,867200,3069.85925925926
Durham,NC,Christ Central Church Durham,873,142,10,4,1,3439915,4299200,7780303,NA,7780303,3505600,321623,4180512,11896.4877675841
Centreville,VA,Christ Central Presbyterian Church,554,40,102,9,16,1713273,0,1804080,16550,1820630,1259664,300000,1851117,4357.68115942029
Tampa,FL,Christ Central Presbyterian Church,143,6,13,4,4,494308,0,527327,25405,552732,380825,34186,516488,4152.1811023622
Fairfax Station,VA,Christ Central Tysons,62,48,0,0,0,291915,0,292715,120000,412715,82917,NA,342111,6098.22916666667
Jonesborough,TN,Christ Church,27,20,0,0,0,186000,0,291000,0,291000,104000,0,106000,14550
Grand Rapids,MI,Christ Church,670,54,14,9,12,1554555,NA,1721250,25057,1746307,1566980,NA,1757680,3456.32530120482
Clayton,NC,Christ Church,52,2,3,3,5,147431,NA,153040,NA,153040,172118,NA,179305,3000.78431372549
Ann Arbor,MI,Christ Church Ann Arbor,104,8,20,5,3,380343,NA,380343,6203,386546,254608,NA,313558,6037.19047619048
Bellingham,WA,Christ Church Bellingham,264,33,74,8,5,962255,76768,1071187,59740,1130927,929104,0,1031967,4057.52651515152
Bentonville,AR,Christ Church Bentonville,198,23,3,5,6,437000,0,438700,18453,457153,349000,0,390504,3249.62962962963
Conway,AR,Christ Church Conway,105,0,0,NA,NA,191188,NA,191188,NA,191188,NA,NA,25221,1820.8380952381
Taos,NM,Christ Church de Canon,48,0,0,NA,NA,87830,NA,101720,6600,108320,90554,NA,90554,2365.58139534884
Dunn,NC,Christ Church Dunn,35,4,0,0,0,105551,NA,105551,11800,117351,148368,NA,149368,3298.46875
Jacksonville,FL,Christ Church East,605,69,7,6,9,1213166,NA,1213166,6718,1219884,1250000,NA,1254100,2732.3558558558602
Greensboro,NC,Christ Church Greensboro,111,17,12,3,6,405000,NA,424125,7555,431680,405000,NA,473955,3820.94594594595
Halifax,NS,Christ Church Halifax,19,0,0,NA,NA,194952,NA,194952,NA,194952,178720,NA,181384,16246
Jacksonville,FL,Christ Church Intown,79,5,22,2,3,297622,NA,297622,17652,315274,180589,36482,226765,4960.36666666667
Katy,TX,Christ Church Katy,452,28,13,6,12,1160405,7805,1197954,28273,1226227,823469,NA,978532,3246.48780487805
Milwaukee,WI,Christ Church Milwaukee,142,16,9,4,3,385534,0,385534,5112,390646,344460,NA,393675,3743.04854368932
New Braunfels,TX,Christ Church New Braunfels,269,17,25,5,5,690735,NA,849460,9268,858728,746813,NA,829213,4356.20512820513
Arlington,VA,Christ Church of Arlington,139,19,9,5,3,526193,3445,530827,2129,532956,493593,0,561910,5104.10576923077
65207 Wiesbaden,GERMANY,Christ Church of Wiesbaden,97,0,0,NA,NA,79581,NA,79581,NA,79581,NA,NA,726,820.422680412371
Normal,IL,Christ Church PCA,452,37,17,9,11,1477191,NA,1611827,6918,1618745,1000257,181917,1309054,4811.42388059702
Pembroke,NH,Christ Church PCA,73,2,6,2,2,NA,NA,0,NA,0,NA,NA,0,0
Trussville,AL,Christ Church PCA,434,28,11,11,12,975506,30797,1082805,NA,1082805,694654,NA,798246,3481.68810289389
San Antonio,TX,Christ Church PCA of San Antonio,332,45,18,5,4,641901,55253,707136,NA,707136,527311,NA,585011,2934.17427385892
Mt. Pleasant,SC,Christ Church Presbyterian,200,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacksonville,FL,Christ Church Presbyterian,295,0,0,NA,NA,877541,NA,877541,NA,877541,NA,NA,153885,2974.71525423729
Sanford,NC,Christ Church Sanford,40,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Fe,NM,Christ Church Santa Fe PCA,200,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto,ON,Christ Church Toronto,223,5,0,8,2,655326,NA,655326,NA,655326,NA,NA,62891,5002.48854961832
Evans,GA,"Christ Church, Presbyterian",251,18,22,9,13,1090867,NA,1130520,10415,1140935,NA,NA,112853,4504.06374501992
Johnson City,TN,Christ Community Church,381,48,4,5,11,811000,36000,847000,NA,847000,864000,36000,972000,2832.77591973244
Chapel Hill,NC,Christ Community Church,196,16,22,6,6,612048,42881,752061,20230,772291,273746,296000,650415,5529.86029411765
Kennesaw,GA,Christ Community Church,277,13,2,6,6,624037,39345,770547,995,771542,636223,0,774473,3486.63800904977
Gainesville,FL,Christ Community Church,574,89,1,8,7,1225038,2065921,3290959,43299,3334258,1155649,606891,1860420,7949.17632850242
Titusville,FL,Christ Community Church,120,9,30,6,7,333498,0,343558,18660,362218,406688,0,444355,3040.33628318584
Carmel,IN,Christ Community Church,296,18,6,9,10,1085555,122098,1344382,2512,1346894,893896,66098,1157539,5420.89516129032
Franklin,TN,Christ Community Church,1111,57,175,27,26,3417783,180432,3941255,NA,3941255,3117381,0,3366998,4398.72209821429
Simpsonville,SC,Christ Community Church,373,51,18,9,8,1229483,588000,1817483,NA,1817483,857183,767316,1746032,5958.9606557377
Batesburg-Leesville,SC,Christ Community Church,27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springville,AL,Christ Community Church,47,0,0,NA,NA,113000,NA,113000,NA,113000,93000,NA,106000,2973.68421052632
Fayetteville,AR,Christ Community Church,493,41,25,6,5,1400000,50000,1500000,100000,1600000,NA,NA,0,3311.2582781457
Helena,AL,Christ Community Church,294,17,11,6,9,753404,12886,766290,NA,766290,501967,87308,651225,3260.8085106383
Helena,AL,Christ Community Church,294,17,11,6,9,753404,12886,766290,NA,766290,501967,87308,651225,3260.8085106383
Frisco,TX,Christ Community Church in Frisco,91,7,23,2,5,411373,39979,452756,0,452756,503901,0,537953,5804.5641025641
Wellington,FL,Christ Community Church PCA Palm Beach,160,10,1,7,5,549035,0,566135,1200,567335,470913,0,559513,4102.42753623188
Thomasville,GA,Christ Community Presbyterian Church,75,0,3,4,3,NA,NA,0,NA,0,NA,NA,0,0
Lakeland,FL,Christ Community Presbyterian Church,317,26,36,6,10,1384124,NA,1400816,NA,1400816,1036467,73266,1273843,4418.97791798107
West Hartford,CT,Christ Community Presbyterian Church,119,7,0,3,1,216188,100,223052,0,223052,131000,0,160000,2372.89361702128
Clearwater,FL,Christ Community Presbyterian Church,63,4,9,2,4,326051,NA,326051,5874,331925,259883,0,306990,5526.28813559322
Southwest Ranches,FL,Christ Covenant Church,141,16,16,3,4,388565,25485,444552,55000,499552,323000,82000,473000,3767.38983050847
La Crosse,WI,Christ Covenant Church,174,9,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0
Hernando,MS,Christ Covenant Church,183,20,12,4,6,470000,300000,770000,NA,770000,NA,NA,83577,4782.60869565217
Matthews,NC,Christ Covenant Church,2549,160,88,45,34,7646958,45547,10289474,964726,11254200,7738363,NA,10805976,5088.7606330366
Columbia,SC,Christ Covenant Church,159,11,1,8,5,541586,165183,713728,175,713903,548896,NA,602013,5026.25352112676
Fargo,ND,Christ Covenant Church,30,0,0,NA,NA,255301,NA,255301,NA,255301,NA,NA,1808,8510.03333333333
Franklin,PA,Christ Covenant PCA,78,11,0,2,2,94700,NA,94700,NA,94700,NA,NA,2600,1691.07142857143
Woodstock,GA,Christ Covenant Presbyterian Church,95,4,6,3,4,237868,0,240619,849,241468,219957,0,238757,3166.03947368421
Suwanee,GA,Christ Covenant Presbyterian Church,49,15,10,0,0,117305,0,117305,NA,117305,99436,0,104236,3351.57142857143
Warminster,PA,Christ Covenant Presbyterian Church,55,7,7,3,1,215000,600,269775,NA,269775,189417,600,215273,6917.30769230769
Cullman,AL,Christ Covenant Presbyterian Church,446,33,2,11,18,950377,NA,955676,23443,979119,575454,234780,908738,2611.13661202186
Lexington,KY,Christ Covenant Presbyterian Church,49,1,1,2,3,138435,0,138435,NA,138435,138000,NA,148900,3376.46341463415
Knoxville,TN,Christ Covenant Presbyterian Church,934,89,35,15,9,2753853,255540,3469076,0,3469076,2524415,50345,3120398,4288.10383189122
Roswell,GA,Christ Fellowship,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Horn Lake,MS,Christ Fellowship,195,20,6,5,6,262482,NA,262482,36030,298512,266291,NA,272291,1810.22068965517
Wake Forest,NC,Christ Our Hope Church,211,12,17,7,9,745438,23851,801231,3237,804468,663377,NA,723223,4426.69060773481
Charlestown,RI,Christ Our Hope Presbyterian Church,60,4,2,2,2,123332,NA,126087,3131,129218,128721,NA,135368,3318.07894736842
Camarillo,CA,Christ our Redeemer,91,8,1,2,3,235054,NA,241248,8556,249804,254655,NA,255155,3496.34782608696
Kent,OH,Christ Presbyterian Church,57,10,0,NA,NA,157187,NA,172187,NA,172187,150272,NA,151325,4099.69047619048
Fairfield,CT,Christ Presbyterian Church,77,6,5,3,0,145917,0,266856,1568,268424,46159,0,319655,6064.90909090909
Houston,TX,Christ Presbyterian Church,716,16,0,12,12,3102036,0,3413580,194482,3608062,NA,NA,335700,4767.56983240224
Owensboro,KY,Christ Presbyterian Church,147,13,8,2,5,238051,NA,250615,NA,250615,175625,NA,240841,2142.00854700855
Clarkesville,GA,Christ Presbyterian Church,243,52,10,6,4,974724,233611,1235761,1541,1237302,599948,67701,752159,5467.96902654867
Germantown,MD,Christ Presbyterian Church,39,3,0,3,4,243464,NA,343464,25419,368883,NA,NA,18297,8806.76923076923
Harrisonburg,VA,Christ Presbyterian Church,112,12,0,4,0,101970,0,101970,0,101970,127847,0,127847,1923.96226415094
Murrieta,CA,Christ Presbyterian Church,126,0,0,NA,NA,156845,NA,156845,NA,156845,NA,NA,2184,1244.80158730159
Owens Cross Roads,AL,Christ Presbyterian Church,362,28,56,3,12,1146867,NA,1146867,NA,1146867,410000,NA,478300,3640.84761904762
Victoria,TX,Christ Presbyterian Church,76,4,0,3,2,181532,500,186032,9803,195835,65000,58676,137891,3322
Sweetwater,TN,Christ Presbyterian Church,51,0,0,3,3,147758,5735,159543,NA,159543,140995,NA,160365,3128.29411764706
Santa Barbara,CA,Christ Presbyterian Church,189,7,12,5,3,589512,841000,1430512,21420,1451932,60686545,494586,61242941,9349.75163398693
Sharpsburg,GA,Christ Presbyterian Church,145,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Haven,CT,Christ Presbyterian Church,334,12,1,4,10,991437,0,1620112,95235,1715347,1665886,0,1876424,6113.63018867925
Winterville,NC,Christ Presbyterian Church,309,13,4,14,11,855074,100,859464,98941,958405,825951,34243,939055,3125.32363636364
Roselle,IL,Christ Presbyterian Church,88,3,2,3,3,214290,2754,223715,19537,243252,269454,0,297157,2796.4375
Nashua,NH,Christ Presbyterian Church,74,5,6,2,2,224555,NA,236426,NA,236426,173805,12000,223723,4076.31034482759
Nashville,TN,Christ Presbyterian Church,2727,214,145,46,66,9913950,NA,10371887,NA,10371887,9128243,NA,10264683,4936.64302712994
Tulsa,OK,Christ Presbyterian Church,529,14,10,8,7,738369,33743,812554,NA,812554,702451,33743,842688,3009.45925925926
Beaver Falls,PA,Christ Presbyterian Church,104,4,4,3,5,145363,1965,147328,1547,148875,121604,51965,205244,1864.91139240506
